agency_id,route_color,route_desc,route_id,route_long_name,route_short_name,route_text_color,route_type,route_name_length,start_point,end_point,is_urban
BMTC,#FFFFFF,Not Available,327H,Krishnarajendra Market - Kamanahalli,BR1645,0,3,36,Krishnarajendra Market,Kamanahalli,1
BMTC,#FFFFFF,Not Available,327K,Kempegowda Bus Station - Sarjapura Bus Stand,BR1646,0,3,44,Kempegowda Bus Station,Sarjapura Bus Stand,0
BMTC,#FFFFFF,Not Available,295A,Kempegowda Bus Station - Dodda Gubbi,BR1284,0,3,36,Kempegowda Bus Station,Dodda Gubbi,0
BMTC,#FFFFFF,Not Available,295B,Kempegowda Bus Station - Anagalipura,BR1285,0,3,36,Kempegowda Bus Station,Anagalipura,0
BMTC,#FFFFFF,Not Available,295C,Shivajinagar Bus Station - Dodda Gubbi,BR1286,0,3,38,Shivajinagar Bus Station,Dodda Gubbi,1
BMTC,#FFFFFF,Not Available,295D,Shivajinagar Bus Station - Yarappana Bande,BR1287,0,3,42,Shivajinagar Bus Station,Yarappana Bande,1
BMTC,#FFFFFF,Not Available,295E,Kempegowda Bus Station - Bande Bommasandra,BR1288,0,3,42,Kempegowda Bus Station,Bande Bommasandra,0
BMTC,#FFFFFF,Not Available,52E,Raghavendra Colony TR Mill - Yeshwanthpura Railway Station,BR2403,0,3,58,Raghavendra Colony TR Mill,Yeshwanthpura Railway Station,0
BMTC,#FFFFFF,Not Available,KGR-CKB,Kengeri TTMC - Chikkabanavara,BR3580,0,3,29,Kengeri TTMC,Chikkabanavara,0
BMTC,#FFFFFF,Not Available,250BA,Kempegowda Bus Station - Sheshadri Nagara,BR773,0,3,41,Kempegowda Bus Station,Sheshadri Nagara,0
BMTC,#FFFFFF,Not Available,327A,Kempegowda Bus Station - Dommasandra,BR1638,0,3,36,Kempegowda Bus Station,Dommasandra,0
BMTC,#FFFFFF,Not Available,327B,Krishnarajendra Market - Panathuru Dinne,BR1639,0,3,40,Krishnarajendra Market,Panathuru Dinne,1
BMTC,#FFFFFF,Not Available,327C,Krishnarajendra Market - Attibele,BR1640,0,3,33,Krishnarajendra Market,Attibele,1
BMTC,#FFFFFF,Not Available,327D,Kempegowda Bus Station - Gunjoor,BR1641,0,3,32,Kempegowda Bus Station,Gunjoor,0
BMTC,#FFFFFF,Not Available,BMES-ULS,BM English School - Halasur,BR2694,0,3,27,BM English School,Halasur,0
BMTC,#FFFFFF,Not Available,327E,Krishnarajendra Market - Gunjur Palya,BR1642,0,3,37,Krishnarajendra Market,Gunjur Palya,1
BMTC,#FFFFFF,Not Available,327F,Krishnarajendra Market - Kodathi,BR1643,0,3,32,Krishnarajendra Market,Kodathi,1
BMTC,#FFFFFF,Not Available,327G,Kempegowda Bus Station - Kuguru,BR1644,0,3,31,Kempegowda Bus Station,Kuguru,0
BMTC,#FFFFFF,Not Available,UTH-NBC,Uttarahalli - Nagarabhavi Circle,BR4026,0,3,32,Uttarahalli,Nagarabhavi Circle,0
BMTC,#FFFFFF,Not Available,294C,Shivajinagar Bus Station - Jyothi Nagara,BR1278,0,3,40,Shivajinagar Bus Station,Jyothi Nagara,1
BMTC,#FFFFFF,Not Available,294D,Krishnarajendra Market - Anagalipura,BR1279,0,3,36,Krishnarajendra Market,Anagalipura,1
BMTC,#FFFFFF,Not Available,BPH-MDL,Baiyappanahalli Satellite Bus Station - Madiwala MARKET,BR2785,0,3,55,Baiyappanahalli Satellite Bus Station,Madiwala MARKET,1
BMTC,#FFFFFF,Not Available,294A,Krishnarajendra Market - Kada Sonappana Halli,BR1276,0,3,45,Krishnarajendra Market,Kada Sonappana Halli,1
